animename,genre
Macross F Movie 1: Itsuwari no Utahime,"1,22,24,18,38,19,29"
Macross F Movie 2: Sayonara no Tsubasa,"1,46,22,24,18,38,19,29"
IS: Infinite Stratos,"1,4,22,24,9,35,23"
Aquarion Evol,"1,10,22,24,18"
IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,"1,4,24,9,35"
Busou Shinki,"1,24,36,18"
Yama no Susume,"2,36,52,63"
Tokyo Ravens,"1,10,22,23"
Busou Shinki: Install x Dream,"1,24,18"
Yama no Susume: Kabe tte Kowakunai no?,"2,36,52,63"
Grisaia no Kajitsu,"8,22,41,35,40,23"
All Alone With You,"10,19"
IS: Infinite Stratos 2,"1,4,22,24,9,35,23"
Walkure Romanze,"22,30,9,35,23"
IS: Infinite Stratos 2 - Hitonatsu no Omoide,"1,4,24,35"
Yama no Susume Second Season,"2,36,52,63"
IS: Infinite Stratos 2 - World Purge-hen,"1,4,22,24,9,35,23"
Absolute Duo,"1,10,22,9,35,23"
Yama no Susume Second Season Specials,"36,52,63"
Grisaia no Meikyuu: Caprice no Mayu 0,8
Grisaia no Rakuen,"8,22,41,35,40"
Grisaia no Kajitsu Specials,9
Comet Lucifer,"1,2,10,18"
Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!,9
Grisaia no Rakuen Specials,9
Rewrite,"1,4,22,37,23"
Shounen Maid,"36,63,25"
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,"1,10,24"
IS: Infinite Stratos 2 - Infinite Wedding,"4,22,35"
"Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?","36,63,25"
Knight's & Magic,"1,10,62,18,72,23"
Rewrite 2nd Season,"1,4,22,37"
Yama no Susume Third Season,"2,36,52,63"
Yama no Susume: Omoide Present,"2,36,52,63"
Miira no Kaikata,"10,36,6,71,23"
Tensei shitara Slime Datta Ken,"1,2,4,10,62,72,27"
Oshi ga Budoukan Ittekuretara Shinu,"4,60,19,69,42"
Hoshiai no Sora,"8,30,23"
Tensei shitara Slime Datta Ken OVA,"1,2,4,10,62,72"
Tensei shitara Slime Datta Ken 2nd Season,"1,2,4,10,62,72,27"
Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki,"4,10"
Zenonzard The Animation Episode 0,"1,24,11"
Mahouka Koukou no Rettousei: Raihousha-hen,"1,10,22,24,23"
Zenonzard The Animation,"1,10,11"
Tensei shitara Slime Datta Ken 2nd Season Part 2,"1,2,4,10,62,72,27"
Tensura Nikki: Tensei shitara Slime Datta Ken,"4,10,62,72,27"
Tensei shitara Slime Datta Ken: Kanwa - Hinata Sakaguchi,"1,2,4,10,62"
Mahouka Koukou no Rettousei: Tsuioku-hen,"1,10,24"
Yama no Susume: Next Summit,"2,36,52,63"
Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,"1,2,4,10,62"
Blue Lock,"30,77,27"
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,"1,2,4,10,62,72,27"
Mahouka Koukou no Rettousei 10-shuunen Kinen PV,19
Mahouka Koukou no Rettousei 3rd Season,"1,10,22,24,23"
Sukuwareru Ramiris,"4,10,62"
Synduality: Noir,"1,24,18"
Shy,"1,8,31,27"
Yuru Camp△ Season 3,"36,52,63"
Tensei shitara Slime Datta Ken 3rd Season,"1,2,4,10,62,72,27"
He Wei Dao x Guan Yu Wo Zhuan Sheng Bian Cheng Shi Lai Mu Zhe Dang Shi,"2,4,10,27"
Tensei shitara Slime Datta Ken: Coleus no Yume,"1,2,4,10,62,72,27"
Blue Lock 2nd Season,"30,77,27"
Blue Lock: Episode Nagi,"30,77,27"
Synduality: Noir Part 2,"1,24,18"
Shy 2nd Season,"1,8,31,27"
Tensei shitara Slime Datta Ken 3rd Season: Kanwa - Diablo Nikki,"1,2,4,10,62"
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,"1,2,10"
Salaryman Kintarou,"4,8,17,42"
Herlock Saga: Nibelung no Yubiwa,"1,2,8,24,29,42"
Oni Chichi,12
Otaku no Seiza,"4,20"
Mars,"1,24,18,27"
Ginga Tetsudou 999: Niji no Michishirube,"8,24,13"
Kono Subarashii Sekai ni Shukufuku wo!,"2,4,10,62,20"
Kono Subarashii Sekai ni Shukufuku wo! 2,"2,4,10,62,20"
The Reflection,"1,31"
"Wake Up, Girls! Shin Shou","8,60,19"
Yuru Camp△,"36,52,63"
Kakegurui,"8,7,41,59,40,23,11,27"
Isekai wa Smartphone to Tomo ni.,"2,4,10,22,35,62"
Two Car,3
Kakegurui××,"8,7,41,59,40,23,11,27"
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"1,10,9,35,62"
Plunderer,"1,10,22,9,38,27"
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"2,4,10,62,20"
Yuru Camp△ Movie,"36,50,52,63"
Kochouki: Wakaki Nobunaga,"1,8,13,21"
Show By Rock!! Mashumairesh!!,"4,10,19"
Show by Rock!! Stars!!,"4,10,19"
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,"1,10,9,35,62"
Yaku nara Mug Cup mo,"36,52,63,23,80"
Idolls!,"60,19"
Kono Subarashii Sekai ni Shukufuku wo! 3,"2,4,10,62,20"
Isekai wa Smartphone to Tomo ni. 2,"2,4,10,22,35,62"
Kono Subarashii Sekai ni Bakuen wo!,"4,10"
My Home Hero,"8,41,50,68,42"
Yuru Camp△ Season 3,"36,52,63"
Pretty Rhythm Movie: All Star Selection - Prism Show☆Best Ten,"30,60,19"
Fw:Hamatora,"4,7,31"
Tobidasu PriPara: Mi~nna de Mezase! Idol☆Grand Prix,"36,60,19,23"
Osomatsu-san Short Film Series,"4,57,20"
Gan Gan Ganko-chan,"4,24,15"
Gan Gan Ganko-chan 2nd Season,"4,24,15"
Heikousen,"22,19"
Perfect Sekai,"60,19"
Drop,19
AOTU Shijie,"1,2,10,24"
AOTU Shijie 2,"1,2,10,24"
AOTU Shijie 3,"1,2,10,24,31"
AOTU Shijie 4,"1,2,10,24,31"
AOTU Xueyuan,"4,10,23"
AOTU Xueyuan: Ge Rui de Xinnian,"4,10"
AOTU Xueyuan 2nd Season,"4,10,23"
AOTU Xueyuan 3rd Season,"4,10,23"
Exception,"24,29"
Make My Day,"14,41"
Guilty Crown,"1,8,24,18,74,31"
Renwu Dashi,"1,2,10"
Toaru Hikuushi e no Koiuta,"2,8,22"
Jitsu wa Watashi wa,"4,10,22,35,23,32,27"
Chara to Otamajakushi Shima,"2,10,15"
Naruto,"1,2,10,17,27"
Yakitate!! Japan,"4,47,27"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"1,8,22,50,13,21,27"
Rurouni Kenshin: Meiji Kenkaku Romantan,"1,4,22,13,21,27"
Arc the Lad,"1,2,10,14,24"
Gakuen Alice,"4,10,64,23,31,25"
Ou Dorobou Jing,"2,4,10,24,27"
Ou Dorobou Jing in Seventh Heaven,"2,4,10,40,27"
Fullmetal Alchemist,"1,2,46,8,10,38,27"
Blood+,"1,8,14,7,37,58,38,32"
R.O.D: Read or Die,"1,2,7,24,50,13"
R.O.D: The TV,"1,2,4,8,24,31"
Jigoku Shoujo,"14,7,37,41,40"
Koukyoushihen Eureka Seven,"1,2,8,22,24,18"
Gravitation,"28,4,50,19,75,25"
Great Teacher Onizuka,"4,55,23,48,27"
Bleach,"1,2,10,27"
Angel Heart,"1,8,7,22,42"
Paradise Kiss,"8,22,23,80,43"
Spiral: Suiri no Kizuna,"8,7,27"
Wild Arms: Twilight Venom,"1,2,10,24,32"
I'll/CKBC,"30,23,77,27"
Gallery Fake,"7,50,80,42"
Blood: The Last Vampire,"46,14,37,58,32"
Fullmetal Alchemist: The Conqueror of Shamballa,"1,2,46,8,10,13,38,27"
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,"1,2,10,27"
Ginban Kaleidoscope,"8,22,30,37,70"
Kamichu!,"46,36,37,63,6,23"
Gravitation: Lyrics of Love,"28,4,50,19,75,25"
Cossette no Shouzou,"8,14,22,37,58,40,80"
Kage kara Mamoru!,"4,22"
Jinzou Ningen Kikaider The Animation,"1,8,24,18,27"
Kiba,"1,2,10,62"
Fullmetal Alchemist: Premium Collection,"4,10,27"
Gintama,"1,4,24,57,13,20,21,27"
Virtua Fighter,"1,17"
Yokohama Kaidashi Kikou,"24,36,63,42"
Honoo no Mirage,"1,28,8,37,13,72,23,25"
Honoo no Mirage: Minagiwa no Hangyakusha,"1,28,8,37,13,72,25"
Demashita! Powerpuff Girls Z,"1,4,24,23,31"
Gakkou no Kaidan,"14,7,37"
Flag,"50,18,38"
Idaten Jump,"30,3,23"
Hakaima Sadamitsu,"1,24,18,23,42"
D.Gray-man,"1,2,10,6,31,27"
Kiniro no Corda: Primo Passo,"22,19,70,73,23,43"
Submarine 707R,"1,2,24,38"
009-1,"1,24,18,42"
Tenpou Ibun: Ayakashi Ayashi,"37,13,6"
Jigoku Shoujo Futakomori,"14,7,37,40"
Kai Doh Maru,"1,10,13"
Nerima Daikon Brothers,"4,19"
Naruto: Shippuuden,"1,2,10,17,27"
Arslan Senki,"1,2,8,10,13"
Jagainu-kun,"2,10,36,51,15"
Hidamari Sketch,"36,52,63,23,80"
Tengen Toppa Gurren Lagann,"1,2,46,24,18"
Darker than Black: Kuro no Keiyakusha,"1,7,24,31"
Tokumu Sentai Shinesman,"1,4,24"
Tekkon Kinkreet,"1,2,46,37,40"
Terra e... (TV),"1,8,24,38,29,31,27"
Ookiku Furikabutte,"30,77,42"
Baccano!,"1,7,37,50,13,68"
Hare Tokidoki Buta (TV),"4,20"
Amon: Devilman Mokushiroku,"14,37,58,6,40,42"
Naruto: Shippuuden Movie 1,"1,2,10,27"
Kara no Kyoukai Movie 1: Fukan Fuukei,"1,7,37,41"
Sweet Valerian,"1,4,23"
Robby to Kerobby,"4,15"
Cencoroll,"1,24"
009-1: R&B,"1,24,42"
Persona: Trinity Soul,"1,7,24,37,31"
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,"22,19,70,73,23,43"
Vampire Knight,"8,7,22,37,64,32,25"
